poll_link_1,poll_link_1/_text,poll_link_1/_title,poll_link_2,poll_link_2/_text,poll_link_2/_title,date_value,year_value,trump_value,carson_value,cruz_value,rubio_value,bush_number,fiorina_value,christie_number,kasich_value,huckabee_value,paul_number,pataki_value,graham_value,santorum_value,spread_value
http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1959,Quinnipiac,,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1959,Quinnipiac,,9/23 - 9/29,2013,0,0,10,12,11,0,13,0,0,17,0,0,0,Paul +4
http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_927.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_927.pdf,PPP (D),,9/25 - 9/26,2013,0,0,20,10,11,0,14,0,0,17,0,0,3,Cruz +3
http://www.cnn.com/2013/09/16/politics/2016-poll-deep-dive/index.html?hpt=hp_t2,CNN/ORC,,http://www.cnn.com/2013/09/16/politics/2016-poll-deep-dive/index.html?hpt=hp_t2,CNN/ORC,,9/6 - 9/8,2013,0,0,7,9,10,0,17,0,0,13,0,0,5,Christie +4
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/christie_is_candidate_gop_voters_want_least_as_their_2016_nominee,Rasmussen,,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/christie_is_candidate_gop_voters_want_least_as_their_2016_nominee,Rasmussen,,8/1 - 8/2,2013,0,0,0,18,16,0,21,0,0,15,0,0,0,Christie +3
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_725.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_725.pdf,PPP (D),,7/19 - 7/21,2013,0,0,12,10,13,0,13,0,0,16,0,0,4,Paul +3
"http://maristpoll.marist.edu/wp-content/misc/usapolls/us130715/Campaign%202016/Complete%20July%2024,%202013%20USA%20McClatchy-Marist%20Poll%20Results%20and%20Tables.pdf",McClatchy/Marist,,"http://maristpoll.marist.edu/wp-content/misc/usapolls/us130715/Campaign%202016/Complete%20July%2024,%202013%20USA%20McClatchy-Marist%20Poll%20Results%20and%20Tables.pdf",McClatchy,,7/15 - 7/18,2013,0,0,7,12,10,0,15,0,0,9,0,0,2,Christie +3
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_515Final.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_515Final.pdf,PPP (D),,5/6 - 5/9,2013,0,0,7,16,15,0,15,0,0,14,0,0,5,Rubio +1
http://www.quinnipiac.edu/institutes-centers/polling-institute/national/release-detail?ReleaseID=1876,Quinnipiac,,http://www.quinnipiac.edu/institutes-centers/polling-institute/national/release-detail?ReleaseID=1876,Quinnipiac,,3/26 - 4/1,2013,0,0,0,19,10,0,14,0,0,15,0,0,0,Rubio +4
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_4313.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_4313.pdf,PPP (D),,3/27 - 3/30,2013,0,0,0,21,12,0,15,0,0,17,0,0,5,Rubio +4
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_207.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_207.pdf,PPP (D),,1/31 - 2/3,2013,0,0,0,22,13,0,13,0,11,10,0,0,0,Rubio +9
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_011013.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_011013.pdf,PPP (D),,1/3 - 1/6,2013,0,0,0,21,14,0,14,0,15,5,0,0,0,Rubio +6
http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1206.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_National_1206.pdf,PPP (D),,11/30 - 12/2,2012,0,0,0,18,12,0,14,0,11,7,0,0,4,Rubio +4
